network_num,School Name,Composite ACT Score Average,
Network 1,NORTHSIDE PREP HS,29.5,
Network 1,ROOSEVELT HS,15.5,
Network 1,SCHURZ HS,16.4,
Network 1,TAFT HS,18.9,
Network 1,VON STEUBEN HS,21.3,
Network 1,Overall Network,20.32,
Network 10,BOGAN HS,14.9,
Network 10,CHICAGO AGRICULTURE HS,20.2,
Network 10,GOODE HS,16.6,
Network 10,HUBBARD HS,17.1,
Network 10,KENNEDY HS,18.1,
Network 10,MORGAN PARK HS,17.3,
Network 10,Overall Network,17.367,
Network 11,HARPER HS,14.6,
Network 11,HOPE HS,14.7,
Network 11,LINDBLOM HS,22.9,
Network 11,ROBESON HS,13.2,
Network 11,SIMEON HS,16.2,
Network 11,TEAM HS,14.3,
Network 11,Overall Network,15.983,
Network 12,BOWEN HS,14.6,
Network 12,CHICAGO VOCATIONAL HS,15.6,
Network 12,HARLAN HS,15.2,
Network 12,HIRSCH HS,13.1,
Network 12,SOUTH SHORE INTL HS,17.9,
Network 12,Overall Network,15.28,
Network 13,CORLISS HS,14.3,
Network 13,FENGER HS,14.7,
Network 13,JULIAN HS,14.7,
Network 13,WASHINGTON HS,17.7,
Network 13,Overall Network,15.35,
Network 2,AMUNDSEN HS,18.2,
Network 2,LAKE VIEW HS,17.5,
Network 2,MATHER HS,17.4,
Network 2,SENN HS,18.3,
Network 2,SULLIVAN HS,15.1,
Network 2,UPLIFT HS,15.6,
Network 2,Overall Network,17.017,
Network 3,AUSTIN BUS & ENTRP HS,14.4,
Network 3,AUSTIN POLY HS,14,
Network 3,CLARK HS,16.3,
Network 3,DOUGLASS HS,13.6,
Network 3,FOREMAN HS,15.3,
Network 3,PROSSER HS,18.1,
Network 3,STEINMETZ HS,16.3,
Network 3,VOISE HS,14.6,
Network 3,Overall Network,15.325,
Network 4,ALCOTT HS,17.6,
Network 4,DEVRY HS,21.1,
Network 4,KELVYN PARK HS,15,
Network 4,LANE TECH HS,25.6,
Network 4,Overall Network,19.825,
Network 5,CLEMENTE HS,15.4,
Network 5,MANLEY HS,14.1,
Network 5,NORTH-GRAND HS,15.9,
Network 5,RABY HS,14.5,
Network 5,WESTINGHOUSE HS,20.7,
Network 5,Overall Network,16.12,
Network 6,CRANE MEDICAL HS,18.7,
Network 6,OGDEN HS,19.7,
Network 6,PEACE AND EDUCATION HS,13.8,
Network 6,SIMPSON HS,16.7,
Network 6,WELLS HS,15.4,
Network 6,Overall Network,16.86,
Network 7,FARRAGUT HS,15.2,
Network 7,INFINITY HS,18.8,
Network 7,MULTICULTURAL HS,14.6,
Network 7,SOCIAL JUSTICE HS,15.6,
Network 7,WORLD LANGUAGE HS,17.5,
Network 7,Overall Network,16.34,
Network 8,BACK OF THE YARDS HS,17.6,
Network 8,CURIE HS,17.4,
Network 8,GAGE PARK HS,14.4,
Network 8,HANCOCK HS,16.9,
Network 8,KELLY HS,17.1,
Network 8,RICHARDS HS,14.6,
Network 8,TILDEN HS,14.5,
Network 8,Overall Network,16.071,
Network 9,BRONZEVILLE HS,14.8,
Network 9,DUNBAR HS,14.4,
Network 9,HYDE PARK HS,15.7,
Network 9,KENWOOD HS,19.2,
Network 9,KING HS,20.6,
Network 9,WILLIAMS HS,17.1,
Network 9,Overall Network,16.967,